2024-10-03 18:57:44.398 INFO Mqtt: MQTT device opened 192.168.20.90 1883 with keepalive=30
2024-10-03 18:57:44.420 INFO Discovery: Discovery publish for 14 messages
2024-10-03 18:57:44.500 INFO Client: Connecting to 192.168.60.135:10000
2024-10-03 18:57:44.521 INFO Client: Connected
2024-10-03 18:57:44.522 INFO Bridge: on_open
2024-10-03 19:07:56.826 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:07:56"}
2024-10-03 19:08:06.545 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:08:06"}
2024-10-03 19:08:16.465 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:08:16"}
2024-10-03 19:08:26.343 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:08:26"}
2024-10-03 19:08:36.433 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:08:36"}
2024-10-03 19:08:46.263 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:08:46"}
2024-10-03 19:08:56.040 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:08:56"}
2024-10-03 19:09:05.938 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:09:05"}
2024-10-03 19:09:16.059 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:09:16"}
2024-10-03 19:09:25.890 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:09:25"}
2024-10-03 19:09:35.721 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:09:35"}
2024-10-03 19:09:45.535 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:09:45"}
2024-10-03 19:09:55.689 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:09:55"}
2024-10-03 19:10:05.521 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:10:05"}
2024-10-03 19:10:15.351 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:10:15"}
2024-10-03 19:10:25.130 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 19:10:25"}
